1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
2.png	grinning face with big eyes	😃️	\U0001F603\U0000FE0F	U+1F603	grinning face with big eyes
3.png	grinning face with smiling eyes	😄️	\U0001F604\U0000FE0F	U+1F604	grinning face with smiling eyes
4.png	beaming face with smiling eyes	😁️	\U0001F601\U0000FE0F	U+1F601	beaming face with smiling eyes
5.png	grinning squinting face	😆️	\U0001F606\U0000FE0F	U+1F606	grinning squinting face
6.png	grinning face with sweat	😅️	\U0001F605\U0000FE0F	U+1F605	grinning face with sweat
7.png	rolling on the floor laughing	🤣️	\U0001F923\U0000FE0F	U+1F923	rolling on the floor laughing
8.png	face with tears of joy	😂️	\U0001F602\U0000FE0F	U+1F602	face with tears of joy
9.png	slightly smiling face	🙂️	\U0001F642\U0000FE0F	U+1F642	slightly smiling face
10.png	upside-down face	🙃️	\U0001F643\U0000FE0F	U+1F643	upside-down face
11.png	winking face	😉️	\U0001F609\U0000FE0F	U+1F609	winking face
12.png	smiling face with smiling eyes	😊️	\U0001F60A\U0000FE0F	U+1F60A	smiling face with smiling eyes
13.png	smiling face with halo	😇️	\U0001F607\U0000FE0F	U+1F607	smiling face with halo
14.png	smiling face with hearts	🥰️	\U0001F970\U0000FE0F	U+1F970	smiling face with hearts
15.png	smiling face with heart-eyes	😍️	\U0001F60D\U0000FE0F	U+1F60D	smiling face with heart-eyes
16.png	star-struck	🤩️	\U0001F929\U0000FE0F	U+1F929	star-struck
17.png	face blowing a kiss	😘️	\U0001F618\U0000FE0F	U+1F618	face blowing a kiss
18.png	kissing face	😗️	\U0001F617\U0000FE0F	U+1F617	kissing face
19.png	smiling face	☺️	\U0000263A\U0000FE0F	U+263A	smiling face
20.png	kissing face with closed eyes	😚️	\U0001F61A\U0000FE0F	U+1F61A	kissing face with closed eyes
21.png	kissing face with smiling eyes	😙️	\U0001F619\U0000FE0F	U+1F619	kissing face with smiling eyes
22.png	⊛ smiling face with tear	🥲️	\U0001F972\U0000FE0F	U+1F972	⊛ smiling face with tear
23.png	face savoring food	😋️	\U0001F60B\U0000FE0F	U+1F60B	face savoring food
24.png	face with tongue	😛️	\U0001F61B\U0000FE0F	U+1F61B	face with tongue
25.png	winking face with tongue	😜️	\U0001F61C\U0000FE0F	U+1F61C	winking face with tongue
26.png	zany face	🤪️	\U0001F92A\U0000FE0F	U+1F92A	zany face
27.png	squinting face with tongue	😝️	\U0001F61D\U0000FE0F	U+1F61D	squinting face with tongue
28.png	money-mouth face	🤑️	\U0001F911\U0000FE0F	U+1F911	money-mouth face
29.png	hugging face	🤗️	\U0001F917\U0000FE0F	U+1F917	hugging face
30.png	face with hand over mouth	🤭️	\U0001F92D\U0000FE0F	U+1F92D	face with hand over mouth
31.png	shushing face	🤫️	\U0001F92B\U0000FE0F	U+1F92B	shushing face
32.png	thinking face	🤔️	\U0001F914\U0000FE0F	U+1F914	thinking face
33.png	zipper-mouth face	🤐️	\U0001F910\U0000FE0F	U+1F910	zipper-mouth face
34.png	face with raised eyebrow	🤨️	\U0001F928\U0000FE0F	U+1F928	face with raised eyebrow
35.png	neutral face	😐️	\U0001F610\U0000FE0F	U+1F610	neutral face
36.png	expressionless face	😑️	\U0001F611\U0000FE0F	U+1F611	expressionless face
37.png	face without mouth	😶️	\U0001F636\U0000FE0F	U+1F636	face without mouth
38.png	smirking face	😏️	\U0001F60F\U0000FE0F	U+1F60F	smirking face
39.png	unamused face	😒️	\U0001F612\U0000FE0F	U+1F612	unamused face
40.png	face with rolling eyes	🙄️	\U0001F644\U0000FE0F	U+1F644	face with rolling eyes
41.png	grimacing face	😬️	\U0001F62C\U0000FE0F	U+1F62C	grimacing face
42.png	lying face	🤥️	\U0001F925\U0000FE0F	U+1F925	lying face
43.png	relieved face	😌️	\U0001F60C\U0000FE0F	U+1F60C	relieved face
44.png	pensive face	😔️	\U0001F614\U0000FE0F	U+1F614	pensive face
45.png	sleepy face	😪️	\U0001F62A\U0000FE0F	U+1F62A	sleepy face
46.png	drooling face	🤤️	\U0001F924\U0000FE0F	U+1F924	drooling face
47.png	sleeping face	😴️	\U0001F634\U0000FE0F	U+1F634	sleeping face
48.png	face with medical mask	😷️	\U0001F637\U0000FE0F	U+1F637	face with medical mask
49.png	face with thermometer	🤒️	\U0001F912\U0000FE0F	U+1F912	face with thermometer
50.png	face with head-bandage	🤕️	\U0001F915\U0000FE0F	U+1F915	face with head-bandage
51.png	nauseated face	🤢️	\U0001F922\U0000FE0F	U+1F922	nauseated face
52.png	face vomiting	🤮️	\U0001F92E\U0000FE0F	U+1F92E	face vomiting
53.png	sneezing face	🤧️	\U0001F927\U0000FE0F	U+1F927	sneezing face
54.png	hot face	🥵️	\U0001F975\U0000FE0F	U+1F975	hot face
55.png	cold face	🥶️	\U0001F976\U0000FE0F	U+1F976	cold face
56.png	woozy face	🥴️	\U0001F974\U0000FE0F	U+1F974	woozy face
57.png	dizzy face	😵️	\U0001F635\U0000FE0F	U+1F635	dizzy face
58.png	exploding head	🤯️	\U0001F92F\U0000FE0F	U+1F92F	exploding head
59.png	cowboy hat face	🤠️	\U0001F920\U0000FE0F	U+1F920	cowboy hat face
60.png	partying face	🥳️	\U0001F973\U0000FE0F	U+1F973	partying face
61.png	⊛ disguised face	🥸️	\U0001F978\U0000FE0F	U+1F978	⊛ disguised face
